row_number,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
1,15634602,Hargrave,619,France,Female,42,2.0,0,1,1,1,101348,1
2,15647311,Hill,608,Spain,Female,41,1.0,83807,1,0,1,112542,0
3,15619304,Onio,502,France,Female,42,8.0,159660,3,1,0,113931,1
4,15701354,Boni,699,France,Female,39,1.0,0,2,0,0,93826,0
5,15737888,Mitchell,850,Spain,Female,43,2.0,125510,1,1,1,79084,0
6,15574012,Chu,645,Spain,Male,44,8.0,113755,2,1,0,149756,1
7,15592531,Bartlett,822,France,Male,50,7.0,0,2,1,1,10062,0
8,15656148,Obinna,376,Germany,Female,29,4.0,115046,4,1,0,119346,1
9,15792365,He,501,France,Male,44,4.0,142051,2,0,1,74940,0
10,15592389,H?,684,France,Male,27,2.0,134603,1,1,1,71725,0
11,15767821,Bearce,528,France,Male,31,6.0,102016,2,0,0,80181,0
12,15737173,Andrews,497,Spain,Male,24,3.0,0,2,1,0,76390,0
13,15632264,Kay,476,France,Female,34,10.0,0,2,1,0,26260,0
14,15691483,Chin,549,France,Female,25,5.0,0,2,0,0,190857,0
15,15600882,Scott,635,Spain,Female,35,7.0,0,2,1,1,65951,0
16,15643966,Goforth,616,Germany,Male,45,3.0,143129,2,0,1,64327,0
17,15737452,Romeo,653,Germany,Male,58,1.0,132602,1,1,0,5097,1
18,15788218,Henderson,549,Spain,Female,24,9.0,0,2,1,1,14406,0
19,15661507,Muldrow,587,Spain,Male,45,6.0,0,1,0,0,158684,0
20,15568982,Hao,726,France,Female,24,6.0,0,2,1,1,54724,0
21,15577657,McDonald,732,France,Male,41,8.0,0,2,1,1,170886,0
22,15597945,Dellucci,636,Spain,Female,32,8.0,0,2,1,0,138555,0
23,15699309,Gerasimov,510,Spain,Female,38,4.0,0,1,1,0,118913,1
24,15725737,Mosman,669,France,Male,46,3.0,0,2,0,1,8487,0
25,15625047,Yen,846,France,Female,38,5.0,0,1,1,1,187616,0
26,15738191,Maclean,577,France,Male,25,3.0,0,2,0,1,124508,0
27,15736816,Young,756,Germany,Male,36,2.0,136815,1,1,1,170041,0
28,15700772,Nebechi,571,France,Male,44,9.0,0,2,0,0,38433,0
29,15728693,McWilliams,574,Germany,Female,43,3.0,141349,1,1,1,100187,0
30,15656300,Lucciano,411,France,Male,29,0.0,59697,2,1,1,53483,0
31,15589475,Azikiwe,591,Spain,Female,39,1.0,0,3,1,0,140469,1
32,15706552,Odinakachukwu,533,France,Male,36,7.0,85311,1,0,1,156731,0
33,15750181,Sanderson,553,Germany,Male,41,9.0,110112,2,0,0,81898,0
34,15659428,Maggard,520,Spain,Female,42,6.0,0,2,1,1,34410,0
35,15732963,Clements,722,Spain,Female,29,9.0,0,2,1,1,142033,0
36,15794171,Lombardo,475,France,Female,45,0.0,134264,1,1,0,27822,1
37,15788448,Watson,490,Spain,Male,31,3.0,145260,1,0,1,114066,0
38,15729599,Lorenzo,804,Spain,Male,33,7.0,76548,1,0,1,98453,0
39,15717426,Armstrong,850,France,Male,36,7.0,0,1,1,1,40812,0
40,15585768,Cameron,582,Germany,Male,41,6.0,70349,2,0,1,178074,0
41,15619360,Hsiao,472,Spain,Male,40,4.0,0,1,1,0,70154,0
42,15738148,Clarke,465,France,Female,51,8.0,122522,1,0,0,181297,1
43,15687946,Osborne,556,France,Female,61,2.0,117419,1,1,1,94153,0
44,15755196,Lavine,834,France,Female,49,2.0,131394,1,0,0,194365,1
45,15684171,Bianchi,660,Spain,Female,61,5.0,155931,1,1,1,158338,0
46,15754849,Tyler,776,Germany,Female,32,4.0,109421,2,1,1,126517,0
47,15602280,Martin,829,Germany,Female,27,9.0,112045,1,1,1,119708,1
48,15771573,Okagbue,637,Germany,Female,39,9.0,137843,1,1,1,117622,1
49,15766205,Yin,550,Germany,Male,38,1.0,103391,1,0,1,90878,0
50,15771873,Buccho,776,Germany,Female,37,2.0,103769,2,1,0,194099,0
51,15616550,Chidiebele,698,Germany,Male,44,10.0,116363,2,1,0,198059,0
52,15768193,Trevisani,585,Germany,Male,36,1.0,146050,2,0,0,86424,0
53,15683553,O'Brien,788,France,Female,33,5.0,0,2,0,0,116978,0
54,15702298,Parkhill,655,Germany,Male,41,1.0,125561,1,0,0,164040,1
55,15569590,Yoo,601,Germany,Male,42,1.0,98495,1,1,0,40014,1
56,15760861,Phillipps,619,France,Male,43,1.0,125211,1,1,1,113410,0
57,15630053,Tsao,656,France,Male,45,5.0,127864,1,1,0,87107,0
58,15647091,Endrizzi,725,Germany,Male,19,0.0,75888,1,0,0,45613,0
59,15623944,T'ien,511,Spain,Female,66,4.0,0,1,1,0,1643,1
60,15804771,Velazquez,614,France,Male,51,4.0,40685,1,1,1,46775,0
61,15651280,Hunter,742,Germany,Male,35,1.0,136857,1,0,0,84509,0
62,15773469,Clark,687,Germany,Female,27,9.0,152328,2,0,0,126494,0
63,15702014,Jeffrey,555,Spain,Male,33,1.0,56084,2,0,0,178798,0
64,15751208,Pirozzi,684,Spain,Male,56,8.0,78707,1,1,1,99398,0
65,15592461,Jackson,603,Germany,Male,26,4.0,109166,1,1,1,92840,0
66,15789484,Hammond,751,Germany,Female,36,6.0,169831,2,1,1,27758,0
67,15696061,Brownless,581,Germany,Female,34,1.0,101633,1,1,0,110431,0
68,15641582,Chibugo,735,Germany,Male,43,10.0,123180,2,1,1,196673,0
69,15638424,Glauert,661,Germany,Female,35,5.0,150725,2,0,1,113656,0
70,15755648,Pisano,675,France,Female,21,8.0,98373,1,1,0,18203,0
71,15703793,Konovalova,738,Germany,Male,58,2.0,133745,4,1,0,28373,1
72,15620344,McKee,813,France,Male,29,6.0,0,1,1,0,33953,0
73,15812518,Palermo,657,Spain,Female,37,0.0,163607,1,0,1,44203,0
74,15779052,Ballard,604,Germany,Female,25,5.0,157780,2,1,1,58426,0
75,15770811,Wallace,519,France,Male,36,9.0,0,2,0,1,145562,0
76,15780961,Cavenagh,735,France,Female,21,1.0,178718,2,1,0,22388,0
77,15614049,Hu,664,France,Male,55,8.0,0,2,1,1,139161,0
78,15662085,Read,678,France,Female,32,9.0,0,1,1,1,148210,0
79,15575185,Bushell,757,Spain,Male,33,5.0,77253,1,0,1,194239,0
80,15803136,Postle,416,Germany,Female,41,10.0,122189,2,1,0,98301,0
81,15706021,Buley,665,France,Female,34,1.0,96645,2,0,0,171413,0
82,15663706,Leonard,777,France,Female,32,2.0,0,1,1,0,136458,1
83,15641732,Mills,543,France,Female,36,1.0,0,2,0,0,26019,0
84,15701164,Onyeorulu,506,France,Female,34,4.0,90307,1,1,1,159235,0
85,15738751,Beit,493,France,Female,46,4.0,0,2,1,0,1907,0
86,15805254,Ndukaku,652,Spain,Female,75,1.0,0,2,1,1,114675,0
87,15762418,Gant,750,Spain,Male,22,3.0,121681,1,1,0,128643,1
88,15625759,Rowley,729,France,Male,30,9.0,0,2,1,0,151869,0
89,15622897,Sharpe,646,France,Female,46,4.0,0,3,1,0,93251,1
90,15767954,Osborne,635,Germany,Female,28,3.0,81623,2,1,1,156791,0
91,15757535,Heap,647,Spain,Female,44,5.0,0,3,1,1,174205,1
92,15731511,Ritchie,808,France,Male,45,7.0,118626,2,1,0,147132,0
93,15809248,Cole,524,France,Female,36,10.0,0,2,1,0,109614,0
94,15640635,Capon,769,France,Male,29,8.0,0,2,1,1,172290,0
95,15676966,Capon,730,Spain,Male,42,1.0,0,2,0,1,85982,0
96,15699461,Fiorentini,515,Spain,Male,35,10.0,176273,1,0,1,121277,0
97,15738721,Graham,773,Spain,Male,41,9.0,102827,1,0,1,64595,0
98,15693683,Yuille,814,Germany,Male,29,8.0,97086,2,1,1,197276,0
99,15604348,Allard,710,Spain,Male,22,8.0,0,2,0,0,99645,0
100,15633059,Fanucci,413,France,Male,34,1.0,0,2,0,0,6534,0
101,15808582,Fu,665,France,Female,40,6.0,0,1,1,1,161848,0
102,15743192,Hung,623,France,Female,44,6.0,0,2,0,0,167162,0
103,15580146,Hung,738,France,Male,31,9.0,82674,1,1,0,41970,0
104,15776605,Bradley,528,Spain,Male,36,7.0,0,2,1,0,60536,0
105,15804919,Dunbabin,670,Spain,Female,65,1.0,0,1,1,1,177655,1
106,15613854,Mauldon,622,Spain,Female,46,4.0,107073,2,1,1,30984,1
107,15599195,Stiger,582,Germany,Male,32,1.0,88938,1,1,1,10054,0
108,15812878,Parsons,785,Germany,Female,36,2.0,99806,1,0,1,36976,0
109,15602312,Walkom,605,Spain,Male,33,5.0,150092,1,0,0,71862,0
110,15744689,T'ang,479,Germany,Male,35,9.0,92833,1,1,0,99449,1
111,15803526,Eremenko,685,Germany,Male,30,3.0,90536,1,0,1,63082,0
112,15665790,Rowntree,538,Germany,Male,39,1.0,108055,2,1,0,27231,0
113,15715951,Thorpe,562,France,Male,42,2.0,100238,1,0,0,86797,0
114,15591100,Chiemela,675,Spain,Male,36,9.0,106190,1,0,1,22994,0
115,15609618,Fanucci,721,Germany,Male,28,9.0,154475,2,0,1,101300,1
116,15675522,Ko,628,Germany,Female,30,9.0,132351,2,1,1,74169,0
117,15705512,Welch,668,Germany,Female,37,6.0,167864,1,1,0,115638,0
118,15698028,Duncan,506,France,Female,41,1.0,0,2,1,0,31766,0
119,15661670,Chidozie,524,Germany,Female,31,8.0,107818,1,1,0,199725,1
120,15600781,Wu,699,Germany,Male,34,4.0,185173,2,1,0,120834,0
121,15682472,Culbreth,828,France,Male,34,8.0,129433,2,0,0,38131,0
122,15580203,Kennedy,674,Spain,Male,39,6.0,120193,1,0,0,100130,0
123,15690673,Cameron,656,France,Female,39,6.0,0,2,1,0,141069,0
124,15760085,Calabresi,684,Germany,Female,48,1.0,126384,1,1,1,198129,0
125,15779659,Zetticci,625,France,Female,28,3.0,0,1,0,0,183646,0
126,15627360,Fuller,432,France,Male,42,1.0,152603,1,1,0,110265,1
127,15671137,MacDonald,549,France,Female,52,1.0,0,1,0,1,8636,1
128,15782688,Piccio,625,Germany,Male,56,0.0,148507,1,1,0,46824,1
129,15575492,Kennedy,828,France,Female,41,7.0,0,2,1,0,171378,0
130,15591607,Fernie,770,France,Male,24,9.0,101827,1,1,0,167256,0
131,15740404,He,758,France,Female,34,3.0,0,2,1,1,124226,0
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9.0,130862,1,1,1,114935,0
133,15677871,Cocci,687,France,Male,38,9.0,122570,1,1,1,35608,0
134,15642004,Alekseeva,686,France,Male,25,1.0,0,2,0,1,16459,0
135,15712543,Chinweike,789,Germany,Male,39,7.0,124828,2,1,1,124411,0
136,15584518,Arthur,589,Germany,Female,50,5.0,144895,2,1,1,34941,0
137,15802381,Li,461,Germany,Female,34,5.0,63663,1,0,1,167784,0
138,15610156,Ma,637,France,Male,40,2.0,133463,1,0,1,93165,0
139,15594408,Chia,584,Spain,Female,48,2.0,213146,1,1,0,75161,1
140,15640905,Vasin,579,Spain,Female,35,1.0,129490,2,0,1,8590,1
141,15698932,Groves,756,Germany,Male,44,10.0,137452,1,1,0,189543,0
142,15724944,Tien,663,France,Male,34,7.0,0,2,1,1,180427,0
143,15628145,Forwood,682,France,Female,43,5.0,125851,1,1,1,193318,0
144,15713483,Greeves,793,Spain,Male,52,2.0,0,1,1,0,159123,1
145,15612350,Taylor,691,France,Female,31,5.0,40915,1,1,0,126213,1
146,15800703,Madukwe,485,Spain,Female,21,5.0,113157,1,1,1,54141,0
147,15705707,Bennelong,635,Spain,Female,29,1.0,138296,2,1,0,141075,0
148,15754105,Olisanugo,650,France,Male,37,5.0,106967,1,0,0,24495,0
149,15703264,Chukwufumnanya,735,France,Male,44,9.0,120681,1,1,0,74836,0
150,15794413,Harris,416,France,Male,32,0.0,0,2,0,1,878,0
151,15650237,Morgan,754,Spain,Female,32,7.0,0,2,1,0,89520,0
152,15759618,Alexeeva,535,France,Female,48,9.0,0,1,1,0,149892,1
153,15811589,Metcalfe,716,Spain,Male,42,8.0,0,2,1,0,180800,0
154,15689044,Humphries,539,France,Male,37,2.0,127609,1,1,0,98646,0
155,15709368,Milne,614,France,Female,43,6.0,0,2,1,1,109041,0
156,15679145,Chou,706,Spain,Male,57,7.0,0,1,1,0,17941,1
157,15655007,Li,758,France,Female,33,7.0,0,2,0,0,82996,0
158,15623595,Clayton,586,Spain,Female,28,2.0,0,2,1,1,92067,0
159,15589975,Maclean,646,France,Female,73,6.0,97259,1,0,1,104719,0
160,15804017,Chigolum,631,Germany,Female,33,4.0,123246,1,0,0,112687,0
161,15692132,Wilkinson,717,Spain,Female,22,6.0,101060,1,0,1,84699,0
162,15641122,Wei,684,France,Male,30,2.0,0,2,1,0,83473,0
163,15630910,Treacy,800,France,Female,49,1.0,108007,1,0,0,47125,0
164,15680772,Hu,721,Spain,Female,36,2.0,0,2,1,1,106977,0
165,15658929,Taverner,683,Spain,Male,29,0.0,133702,1,1,0,55582,1
166,15585388,Sherman,660,Germany,Male,31,9.0,125189,2,1,1,139874,0
167,15724623,Taubman,704,Germany,Female,24,7.0,113034,1,1,0,162503,1
168,15588537,Robinson,615,Spain,Female,41,9.0,109013,1,1,0,196499,0
169,15574692,Pinto,667,Spain,Female,39,2.0,0,2,1,0,40721,1
170,15611325,Wood,682,Germany,Male,24,9.0,57929,2,0,0,53134,0
171,15587562,Hawkins,484,France,Female,29,4.0,130114,1,1,0,164017,0
172,15613172,Sun,628,Germany,Male,27,5.0,95826,2,1,0,155996,0
173,15651022,Yost,480,Germany,Male,44,10.0,129608,1,1,0,5472,1
174,15586310,Ting,578,France,Male,30,1.0,169462,1,1,0,112187,0
175,15625524,Rowe,512,France,Male,40,5.0,0,2,1,1,146457,0
176,15755209,Fu,484,Spain,Female,35,7.0,133868,1,1,1,27286,0
177,15645248,Ho,510,France,Female,30,0.0,0,2,1,1,130553,0
178,15790355,Okechukwu,606,Germany,Male,36,5.0,190479,2,0,0,179351,0
179,15762615,Campbell,597,Spain,Female,40,8.0,101993,1,0,1,94774,0
180,15625426,Ashbolt,754,Germany,Female,55,3.0,161608,1,1,0,8080,1
181,15716334,Rozier,850,Spain,Female,45,1.0,122311,1,1,1,19482,0
182,15789669,Hsia,510,France,Male,65,2.0,0,2,1,1,48071,0
183,15621075,Ogbonnaya,778,Germany,Female,45,1.0,162150,2,1,0,174531,0
184,15810845,T'ang,636,France,Male,42,2.0,0,2,1,1,55470,0
185,15719377,Cocci,804,France,Female,50,4.0,0,1,1,1,8546,1
186,15654506,Chang,514,France,Male,32,8.0,0,2,1,0,95857,0
187,15771977,T'ao,730,France,Female,39,1.0,99010,1,1,0,194945,0
188,15708710,Ford,525,Spain,Female,37,0.0,0,1,0,1,131521,0
189,15726676,Marshall,616,Spain,Male,30,5.0,0,2,0,1,196108,0
190,15587421,Tsai,687,Germany,Female,34,7.0,111388,2,1,0,148564,0
191,15726931,Onwumelu,715,France,Female,41,8.0,56214,2,0,0,92982,1
192,15771086,Graham,512,France,Female,36,3.0,84327,2,1,0,17675,0
193,15756850,Golovanov,479,France,Male,40,1.0,0,2,0,0,114996,0
194,15702741,Potts,601,France,Male,32,8.0,93012,1,1,0,86957,0
195,15679200,Crawford,580,Spain,Male,29,9.0,61710,2,1,0,128077,0
196,15594815,Aleshire,807,France,Male,35,3.0,174790,1,1,1,600,0
197,15635905,Moran,616,Spain,Female,32,6.0,0,2,1,1,43001,0
198,15777892,Samsonova,721,Germany,Male,37,3.0,107720,1,1,1,158591,0
199,15656176,Jenkins,501,France,Male,57,10.0,0,2,1,1,47847,0
200,15811127,Volkov,521,France,Male,35,6.0,96423,1,1,0,10488,0
201,15604482,Chiemezie,850,Spain,Male,30,2.0,141040,1,1,1,5978,0
202,15622911,Jude,759,France,Male,42,4.0,105420,1,0,1,121409,0
203,15600974,He,516,Spain,Male,50,5.0,0,1,0,1,146145,1
204,15727868,Onuora,711,France,Female,38,2.0,129022,2,1,1,14374,1
205,15627801,Ginikanwa,512,Spain,Male,33,3.0,176666,1,1,0,94670,0
206,15773039,Ku,550,France,Male,37,3.0,0,1,1,1,179670,0
207,15755262,McDonald,608,Spain,Female,41,3.0,89763,1,0,0,199304,1
208,15679531,Collins,618,France,Male,34,5.0,134954,1,1,1,151954,0
209,15684181,Hackett,643,France,Male,45,5.0,0,1,1,0,142513,1
210,15612087,Dike,671,France,Male,45,2.0,106376,1,0,1,158264,0
211,15752047,Trevisano,689,Germany,Male,33,2.0,161814,2,1,0,169381,0
212,15624592,Tan,603,France,Male,31,8.0,0,2,1,1,169915,0
213,15573152,Glassman,620,France,Female,41,9.0,0,2,0,0,88852,0
214,15594917,Miller,676,France,Female,34,1.0,63095,1,1,1,40645,0
215,15785542,Kornilova,572,Germany,Male,26,4.0,118287,2,0,0,60427,0
216,15723488,Watson,668,Germany,Male,47,7.0,106854,1,0,1,157959,1
217,15680920,Marchesi,695,France,Male,46,7.0,49512,1,1,0,133007,0
218,15786308,Millar,730,Spain,Female,33,1.0,0,2,0,0,176576,0
219,15659366,Shih,807,France,Male,43,1.0,105799,2,1,0,34888,1
220,15774854,Fuller,592,France,Male,54,8.0,0,1,1,1,28737,1
221,15725311,Hay,726,France,Female,31,9.0,114722,2,1,1,98178,0
222,15787155,Yang,514,Spain,Male,30,7.0,0,1,0,1,125010,0
223,15727829,McIntyre,567,France,Male,42,1.0,0,2,1,1,167984,0
224,15733247,Stevenson,850,France,Male,33,10.0,0,1,1,0,4861,1
225,15568748,Poole,671,Germany,Male,45,6.0,99564,1,1,1,108872,1
226,15699029,Bagley,670,France,Male,37,1.0,170557,2,1,0,198252,0
227,15774393,Ch'ien,694,France,Female,30,9.0,0,2,1,1,26960,0
228,15676895,Cattaneo,547,Germany,Female,39,6.0,74596,3,1,1,85746,1
229,15637753,O'Sullivan,751,Germany,Male,50,2.0,96888,1,1,0,77206,1
230,15605461,Lucas,594,Germany,Female,29,3.0,130830,1,1,0,61048,0
231,15808473,Ringrose,673,France,Male,72,1.0,0,2,0,1,111981,0
232,15627000,Freeman,610,France,Male,40,0.0,0,2,1,0,62232,0
233,15787174,Sergeyev,512,France,Female,37,1.0,0,2,0,1,156105,0
234,15723886,Fiore,767,Germany,Male,20,3.0,119714,2,0,1,150135,0
235,15704769,Smith,585,France,Female,67,5.0,113978,2,0,1,93146,0
236,15772896,Dumetochukwu,763,Germany,Male,42,6.0,100160,1,1,0,33462,1
237,15711540,Pacheco,712,France,Female,29,2.0,0,1,1,1,144375,0
238,15764866,Synnot,539,Germany,Female,43,1.0,116220,3,1,0,55803,1
239,15794056,Johnston,668,France,Female,46,2.0,0,3,1,0,89048,1
240,15795149,Stevens,703,France,Male,28,2.0,81173,2,0,1,162812,0
241,15812009,Grant,662,Spain,Male,38,4.0,0,2,1,0,136259,0
242,15651001,Tsao,725,Germany,Female,39,5.0,116803,1,1,0,124052,0
243,15813844,Barnes,703,France,Male,37,8.0,105961,2,0,1,74158,0
244,15596175,McIntosh,659,Germany,Male,67,6.0,117411,1,1,1,45071,1
245,15576269,Madison,523,Spain,Male,34,7.0,0,2,1,0,62030,0
246,15797219,Ifesinachi,635,France,Female,40,10.0,123497,1,1,0,131953,1
247,15685500,Glazkov,772,Germany,Male,26,7.0,152400,2,1,0,79414,0
248,15599792,Dimauro,545,France,Female,26,1.0,0,2,1,1,199638,0
249,15657566,Wieck,634,Germany,Male,24,8.0,103097,1,1,1,157577,0
250,15772423,Liao,739,Germany,Male,54,8.0,126418,1,1,0,134420,1
251,15628112,Hughes,771,Germany,Female,36,5.0,77846,1,0,0,99805,0
252,15753754,Morrison,587,Spain,Female,34,1.0,0,2,1,1,97932,0
253,15793726,Matveyeva,681,France,Female,79,0.0,0,2,0,1,170968,0
254,15694717,Ku,544,Germany,Male,37,2.0,79731,1,1,1,57558,0
255,15665834,Cheatham,696,Spain,Male,28,1.0,0,1,0,0,176713,0
256,15765297,Yao,766,Spain,Male,41,0.0,0,2,0,1,34283,0
257,15636684,Kirkland,727,France,Male,34,10.0,0,2,1,1,198637,0
258,15592979,Rose,671,Germany,Female,34,6.0,37266,2,0,0,156917,0
259,15750803,Jess,693,France,Female,30,1.0,127992,1,1,1,50457,0
260,15607178,Welch,850,Germany,Male,38,3.0,54901,1,1,1,140075,0
261,15713853,Ifeajuna,732,Germany,Male,42,9.0,108748,2,1,1,65323,0
262,15673481,Morton,726,Spain,Female,48,6.0,99906,1,1,0,64323,0
263,15686776,Rossi,557,France,Female,32,6.0,184686,2,1,0,14956,0
264,15673693,Reppert,682,France,Female,26,0.0,110654,1,0,1,111879,0
265,15700696,Kang,738,Spain,Male,31,1.0,79019,1,1,1,18606,0
266,15813163,Ch'iu,531,Spain,Female,36,9.0,99240,1,1,0,123137,0
267,15653857,Wallis,498,France,Male,34,2.0,0,2,1,1,148528,0
268,15777076,Clark,651,France,Male,36,7.0,0,2,1,0,13898,0
269,15717398,Fielding,549,Spain,Female,39,7.0,0,1,0,0,81259,1
270,15799217,Zetticci,791,Germany,Female,35,7.0,52436,1,1,0,161051,0
271,15787071,Dulhunty,650,Spain,Male,41,1.0,0,2,0,1,191599,0
272,15619955,Bevington,733,Germany,Male,34,3.0,100337,3,1,0,48559,1
273,15796505,Boyle,811,Germany,Female,34,1.0,149297,2,1,1,186339,0
274,15725166,Newton,707,France,Male,30,8.0,0,2,1,0,33159,0
275,15800116,Bowman,712,Germany,Male,28,4.0,145605,1,0,1,93883,0
276,15758685,Dubinina,706,Spain,Female,37,1.0,0,2,1,1,110899,0
277,15694456,Toscani,756,France,Male,62,3.0,0,1,1,1,11199,1
278,15767339,Chiazagomekpere,777,France,Female,53,10.0,0,2,1,0,189992,0
279,15683562,Allen,646,France,Male,35,6.0,84026,1,0,1,164255,0
280,15782210,K'ung,714,France,Male,46,1.0,0,1,1,0,152167,1
281,15668893,Wilsmore,782,France,Male,39,8.0,0,2,1,1,33949,0
282,15669169,Hargreaves,775,Spain,Male,29,10.0,0,2,1,1,68143,0
283,15643024,Huang,479,Germany,Male,35,4.0,138718,1,1,1,47251,1
